City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
417,Nhulunbuy,AU,-12.2333,136.7667,87.03,61,100,7.07,overcast clouds
418,Alekseyevsk,RU,57.8406,108.3492,27.01,88,95,3.27,overcast clouds
419,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
420,Avera,US,33.194,-82.5271,53.11,36,43,2.01,scattered clouds
421,Ugoofaaru,MV,5.6667,73.0,80.24,82,92,13.94,overcast clouds
422,Hirara,JP,24.8,125.2833,80.85,86,98,7.67,overcast clouds
423,Ahipara,NZ,-35.1667,173.1667,62.98,59,72,11.18,broken clouds
424,Pinawa,CA,50.1489,-95.8811,46.78,54,97,3.85,overcast clouds
425,Moose Factory,CA,51.2585,-80.6094,46.74,89,100,11.32,overcast clouds
426,Padang,ID,-0.9492,100.3543,73.45,83,100,3.22,light rain
427,Hachinohe,JP,40.5,141.5,65.95,64,92,8.95,light rain
428,Rawson,AR,-43.3002,-65.1023,51.24,48,0,24.49,clear sky
429,Chibombo,ZM,-14.6569,28.0706,72.09,44,8,8.95,clear sky
430,Khasan,RU,42.4308,130.6434,54.09,54,51,20.94,broken clouds
431,Namatanai,PG,-3.6667,152.4333,85.14,67,60,6.42,light rain
432,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,38,8.68,scattered clouds
433,Gimli,CA,50.6336,-96.9907,50.02,51,99,4.5,overcast clouds
434,Mao,ES,39.8885,4.2658,72.16,94,75,9.22,broken clouds
435,Misratah,LY,32.3754,15.0925,71.94,67,6,4.63,clear sky
436,Vestmanna,FO,62.1564,-7.1664,40.12,81,99,17.27,overcast clouds
437,Karakulino,RU,56.012,53.7067,28.31,81,32,7.38,scattered clouds
438,Yar-Sale,RU,66.8333,70.8333,30.2,95,100,6.42,overcast clouds
439,Hanna,CA,51.6334,-111.9018,44.94,42,87,5.61,overcast clouds
440,Henties Bay,NA,-22.116,14.2845,56.7,96,17,7.0,few clouds
441,Dolinsk,RU,47.35,142.8,46.42,84,92,1.81,overcast clouds
442,Constitucion,CL,-35.3333,-72.4167,52.2,77,1,13.0,clear sky
443,Aljezur,PT,37.3191,-8.8033,64.56,92,100,7.09,overcast clouds
444,Malakal,SS,9.5334,31.6605,70.7,92,65,3.76,broken clouds
445,Krasnyy Oktyabr,RU,56.1167,38.8833,37.31,90,92,2.08,overcast clouds
446,Knysna,ZA,-34.0363,23.0471,61.36,85,97,2.84,overcast clouds
447,La Ronge,CA,55.1001,-105.2842,40.73,56,94,7.94,overcast clouds
448,Pamekasan,ID,-7.1568,113.4746,81.52,75,100,2.46,light rain
449,Inirida,CO,3.8653,-67.9239,76.53,93,95,1.01,overcast clouds
450,Imbituba,BR,-28.24,-48.6703,65.26,95,64,3.36,broken clouds
451,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.88,81,24,8.19,few clouds
452,Baiyin,CN,36.5583,104.2081,48.45,36,97,1.81,overcast clouds
453,Kisesa,TZ,-3.0833,34.15,69.35,38,85,4.63,overcast clouds
454,Payo,ID,-3.7508,103.6372,75.07,95,100,1.07,overcast clouds
455,Taber,CA,49.8167,-112.1518,39.27,91,100,2.68,overcast clouds
456,Mpika,ZM,-11.8343,31.4529,63.82,50,35,6.89,scattered clouds
457,Caborca,MX,30.5838,-111.101,82.58,40,82,10.67,broken clouds
458,Shepsi,RU,44.0361,39.1489,52.47,70,33,4.25,scattered clouds
459,Kendari,ID,-3.945,122.4989,81.03,84,83,2.01,broken clouds
460,Pulaski,US,34.7668,-92.3001,70.16,51,20,9.22,few clouds
461,Sosnovo-Ozerskoye,RU,52.5249,111.5418,23.14,89,84,3.96,broken clouds
462,Solnechnyy,RU,50.7214,136.6319,34.75,45,100,6.82,overcast clouds
463,Sinazongwe,ZM,-17.2614,27.4618,75.56,52,7,2.98,clear sky
464,Hauknes,NO,66.2833,14.0667,32.79,93,98,0.0,mist
465,Kruisfontein,ZA,-34.0033,24.7314,61.3,83,100,4.97,overcast clouds
466,Launceston,AU,-41.45,147.1667,67.64,77,100,0.0,overcast clouds
467,Kovvur,IN,17.0167,81.7333,71.42,89,0,5.28,clear sky
468,Sommerda,DE,51.15,11.1,59.92,91,100,2.95,overcast clouds
469,Kahului,US,20.8947,-156.47,93.22,59,20,14.97,few clouds
470,Wanning,CN,18.8003,110.3967,74.61,89,98,8.39,overcast clouds
471,Marrakesh,MA,31.6315,-8.0083,73.47,38,0,3.44,clear sky
472,Kirkwall,GB,58.9848,-2.9587,53.65,94,100,13.8,overcast clouds
473,Dubbo,AU,-32.25,148.6167,71.64,74,23,13.0,few clouds
474,Sterling,US,39.0062,-77.4286,56.44,58,0,6.91,clear sky
475,Opuwo,NA,-18.0607,13.84,75.18,31,75,3.58,broken clouds
476,Olafsvik,IS,64.8945,-23.7142,39.43,71,96,1.74,overcast clouds
477,Salalah,OM,17.0151,54.0924,75.29,73,20,4.61,few clouds
478,Baruun-Urt,MN,46.6806,113.2792,29.32,85,8,10.69,clear sky
479,Kurilsk,RU,45.2333,147.8833,56.52,73,64,14.23,broken clouds
480,Canico,PT,32.6333,-16.85,73.0,86,40,2.3,light rain
